id,rle_mask
0005bb9630,
000a68e46c,
000c8dfb2a,
000d0a5f6c,
001ef8fc87,1 7366 7374 82 7475 73 7576 69 7677 65 7778 60 7879 57 7982 51 8089 26 8116 3 8125 2 8205 3
002124aa19,2523 1 2619 8 2716 12 2812 17 2909 21 3006 25 3104 28 3202 31 3296 38 3384 51 3471 65 3550 87 3641 97 3739 6463
002af5d1e8,7880 5 7980 10 8081 13 8182 17 8283 21 8384 27 8485 34 8586 42 8687 46 8788 54 8889 64 8954 35 8990 1212
00323f1910,191 2 699 2 702 1 797 8 898 8 911 21 998 10 1011 25 1098 12 1112 27 1197 45 1297 48 1398 51 1498 58 1599 63 1699 81 1798 526 2325 100 2428 98 2535 92 2640 88 2744 85 2850 80 2957 74 3063 69 3168 65 3276 58 3384 51 3490 46 3595 42 3701 37 3806 33 3912 28 4017 24 4123 19 4228 15 4334 10 4440 4
00329dc15c,
0035c56490,
0041cb8c49,1 1412 1415 97 1516 95 1617 90 1718 82 1819 81 1920 80 2021 78 2122 77 2223 76 2324 75 2425 73 2526 72 2627 71 2728 71 2829 70 2930 69 3031 68 3132 66 3233 65 3334 64 3435 62 3536 62 3637 60 3738 59 3839 57 3940 57 4041 56 4142 55 4243 54 4344 53 4445 52 4546 50 4647 48 4748 39 4788 2 4849 27 4950 26 5051 26 5152 26 5253 26 5354 26 5455 26 5556 26 5657 27 5758 27 5859 28 5960 29 6061 29 6162 30 6263 30 6364 30 6465 30 6566 30 6667 30 6768 30 6869 29 6970 29 7071 29 7172 29 7273 28 7374 28 7475 28 7576 28 7677 28 7778 28 7879 28 7980 27 8081 27 8182 27 8283 27 8384 27 8485 27 8586 27 8687 26 8788 26 8889 26 8990 26 9091 26 9192 26 9293 26 9394 25 9495 25 9596 25 9697 24 9798 24 9899 24 10000 23 10101 23
0043a01a19,5699 4 5798 8 5898 13 5998 15 6098 16 6197 19 6297 20 6397 22 6497 23 6596 25 6695 27 6775 3 6794 30 6875 5 6888 37 6973 1 6976 50 7072 56 7156 4 7172 59 7256 6 7265 3 7273 63 7354 16 7374 98 7475 98 7576 99 7677 100 7778 908 8687 99 8788 99 8889 98 8990 97 9091 97 9192 95 9293 94 9394 94 9495 93 9596 93 9697 93 9798 92 9899 92 10000 91 10101 90
00565e793d,
005855cd72,
005b02dd7c,4842 6 4937 13 5032 19 5130 22 5227 26 5324 30 5422 33 5521 35 5618 39 5715 43 5812 47 5911 49 6009 52 6107 55 6205 58 6303 61 6401 64 6496 70 6593 74 6691 77 6788 81 6883 87 6978 93 7075 3127
0066451ce3,1 1009 1011 98 1112 97 1213 97 1314 97 1415 97 1516 97 1617 97 1718 96 1819 96 1920 95 2021 94 2122 93 2223 93 2324 92 2425 92 2526 91 2627 89 2728 86 2829 84 2930 82 3031 81 3132 80 3233 79 3334 77 3435 76 3536 75 3637 73 3738 72 3839 71 3940 71 4041 70 4142 70 4243 70 4344 70 4445 71 4546 71 4647 71 4748 72 4849 72 4950 72 5051 73 5152 72 5253 72 5354 71 5455 69 5556 68 5657 66 5758 63 5859 60 5960 58 6061 56 6162 54 6263 53 6364 51 6465 49 6566 47 6667 45 6768 43 6869 40 6970 38 7071 22 7094 12 7172 17 7273 14 7374 13 7475 12 7576 11 7677 11 7778 11 7879 11 7980 11 8081 12 8182 12 8283 12 8384 12 8485 13 8586 13 8687 13 8788 14 8889 14 8990 14 9091 15 9192 15 9293 15 9394 16 9495 16 9596 17 9697 17 9798 17 9899 17 10000 17 10101 16
00690a4185,
006d9df08a,
00707c7864,2105 2 2109 3 2204 11 2304 14 2404 16 2503 19 2602 22 2699 26 2794 34 2891 39 2990 41 3090 42 3190 43 3290 44 3390 45 3490 46 3590 47 3689 49 3788 51 3888 52 3987 54 4087 55 4186 57 4287 57 4387 58 4488 58 4588 59 4689 59 4789 60 4890 60 4991 60 5092 60 5193 60 5295 59 5396 59 5497 59 5599 58 5700 58 5801 58 5902 58 6004 57 6106 56 6207 56 6310 54 6412 53 6514 52 6616 51 6718 50 6820 49 6921 49 7023 48 7124 48 7226 47 7327 47 7428 47 7530 46 7631 46 7733 45 7834 45 7935 45 8035 46 8136 46 8238 45 8339 45 8440 45 8541 45 8642 45 8743 45 8843 46 8944 46 9044 47 9145 47 9246 47 9347 47 9447 48 9548 48 9648 49 9749 49 9849 50 9949 51 10050 51 10152 50
007176e42a,
007c7c7dcf,5082 7 5180 17 5280 23 5379 29 5480 34 5557 5 5578 40 5657 11 5671 51 5758 68 5852 5 5859 72 5950 88 6048 4154
